case,pool_sp,pull_sp,official_mk,verified_sp,gain,slots,status
case_001,4.907372,,,4.907372,0.0,,pool_only
case_002,3.982077,4.343094,60313,4.343094,0.361017,5,verified_gain
case_003,2.714794,,,2.714794,0.0,,pool_only
case_004,4.441392,,,4.441392,0.0,,pool_only
case_005,1.670913,,,1.670913,0.0,,pool_only
case_006,3.548079,3.988108,20771,3.988108,0.440029,5,verified_gain
case_007,4.967581,,,4.967581,0.0,,pool_only
case_008,4.846824,5.113683,95353,5.113683,0.266859,5,verified_gain
case_009,1.785156,,,1.785156,0.0,,pool_only
case_010,4.161395,,,4.161395,0.0,,pool_only
case_011,4.553561,4.613504,40034,4.613504,0.059942,5,verified_gain
case_012,3.820016,4.327206,13655,4.327206,0.50719,5,verified_gain
case_013,4.871346,4.877377,54117,4.877377,0.006031,5,verified_gain
case_014,4.803372,4.804602,3683682,4.804602,0.00123,5,verified_gain
case_015,4.349987,,,4.349987,0.0,,pool_only
case_016,3.443543,,,3.443543,0.0,,pool_only
case_017,4.882591,,,4.882591,0.0,,pool_only
case_018,4.983363,,,4.983363,0.0,,pool_only
case_019,4.975107,,,4.975107,0.0,,pool_only
case_020,4.948871,,,4.948871,0.0,,pool_only
case_021,5.256957,,,5.256957,0.0,,pool_only
case_022,4.799662,,,4.799662,0.0,,pool_only
case_023,5.242603,5.27599,23240,5.27599,0.033387,5,verified_gain
case_024,3.437336,,,3.437336,0.0,,pool_only
case_025,4.986277,,,4.986277,0.0,,pool_only
case_026,2.906366,,,2.906366,0.0,,pool_only
case_027,5.128446,5.128446,460949,5.128446,0.0,5,verified_no_gain
case_028,5.445693,,,5.445693,0.0,,pool_only
case_029,4.537272,,,4.537272,0.0,,pool_only
case_030,4.994902,,,4.994902,0.0,,pool_only
case_031,4.625492,4.792246,295137,4.792246,0.166754,5,verified_gain
case_032,3.475595,3.578843,11580,3.578843,0.103247,5,verified_gain
case_033,5.003782,5.010791,354075,5.010791,0.007009,5,verified_gain
case_034,4.80959,4.910475,171673,4.910475,0.100885,5,verified_gain
case_035,1.897001,,,1.897001,0.0,,pool_only
case_036,4.976493,,,4.976493,0.0,,pool_only
case_037,4.882268,,,4.882268,0.0,,pool_only
case_038,5.007045,,,5.007045,0.0,,pool_only
case_039,4.385198,4.889744,293525,4.889744,0.504546,5,verified_gain
case_040,2.39725,2.463541,102882,2.463541,0.066291,5,verified_gain
case_041,4.957568,,,4.957568,0.0,,pool_only
case_042,4.936347,,,4.936347,0.0,,pool_only
case_043,2.981985,3.245277,208813,3.245277,0.263292,5,verified_gain
case_044,2.701548,3.403359,45369,3.403359,0.701811,4,verified_gain
case_045,4.801024,,,4.801024,0.0,,pool_only
case_046,4.084556,,,4.084556,0.0,,pool_only
case_047,1.332789,,,1.332789,0.0,,pool_only
case_048,1.502156,,,1.502156,0.0,,pool_only
case_049,1.585684,2.410306,81432,2.410306,0.824622,4,verified_gain
case_050,2.128728,,,2.128728,0.0,,pool_only
case_051,3.412299,,,3.412299,0.0,,pool_only
case_052,5.206648,,,5.206648,0.0,,pool_only
case_053,3.933194,,,3.933194,0.0,,pool_only
case_054,2.982454,,,2.982454,0.0,,pool_only
case_055,4.922946,,,4.922946,0.0,,pool_only
case_056,1.484562,2.15043,128944,2.15043,0.665868,4,verified_gain
case_057,4.542592,,,4.542592,0.0,,pool_only
case_058,4.788534,,,4.788534,0.0,,pool_only
case_059,5.502819,,,5.502819,0.0,,pool_only
case_060,4.743396,4.919024,180684,4.919024,0.175628,5,verified_gain
case_061,3.806262,,,3.806262,0.0,,pool_only
case_062,4.761245,,,4.761245,0.0,,pool_only
case_063,3.901304,4.600257,232682,4.600257,0.698953,5,verified_gain
case_064,1.281835,,,1.281835,0.0,,pool_only
case_065,4.521428,,,4.521428,0.0,,pool_only
case_066,2.669249,2.723198,131856,2.723198,0.053949,5,verified_gain
case_067,5.084652,,,5.084652,0.0,,pool_only
case_068,2.275266,,,2.275266,0.0,,pool_only
case_069,2.693231,,,2.693231,0.0,,pool_only
case_070,4.621385,,,4.621385,0.0,,pool_only
case_071,2.367835,,,2.367835,0.0,,pool_only
case_072,4.73563,4.951081,4826790,4.951081,0.215451,5,verified_gain
case_073,5.7016,,,5.7016,0.0,,pool_only
case_074,4.937306,5.023663,334863,5.023663,0.086357,5,verified_gain
case_075,3.415848,,,3.415848,0.0,,pool_only
case_076,4.773042,4.973887,1243517,4.973887,0.200845,5,verified_gain
case_077,4.382277,4.55496,108743,4.55496,0.172683,5,verified_gain
case_078,5.056904,,,5.056904,0.0,,pool_only
case_079,5.111085,,,5.111085,0.0,,pool_only
case_080,3.181915,4.054938,72045,4.054938,0.873023,5,verified_gain
case_081,4.905633,,,4.905633,0.0,,pool_only
case_082,3.49862,,,3.49862,0.0,,pool_only
case_083,5.337845,,,5.337845,0.0,,pool_only
case_084,4.988961,,,4.988961,0.0,,pool_only
case_085,3.821683,,,3.821683,0.0,,pool_only
case_086,1.731038,,,1.731038,0.0,,pool_only
case_087,4.728628,,,4.728628,0.0,,pool_only
case_088,2.132554,,,2.132554,0.0,,pool_only
case_089,5.632055,,,5.632055,0.0,,pool_only
case_090,4.134593,4.759428,247585,4.759428,0.624835,5,verified_gain
case_091,4.631336,4.944384,1858021,4.944384,0.313048,5,verified_gain
case_092,5.982411,,,5.982411,0.0,,pool_only
case_093,4.674036,,,4.674036,0.0,,pool_only
case_094,4.769641,,,4.769641,0.0,,pool_only
case_095,4.953886,,,4.953886,0.0,,pool_only
case_096,3.112187,,,3.112187,0.0,,pool_only
case_097,5.46629,,,5.46629,0.0,,pool_only
case_098,2.757436,2.96067,59929,2.96067,0.203234,4,verified_gain
case_099,4.910991,4.931629,329100,4.931629,0.020638,5,verified_gain
case_100,2.849823,3.001767,50378,3.001767,0.151944,5,verified_gain
