case,q,pool_sp,pull_sp,mk,cores,exp,plan_path,ts,source,verified_local
case_087,3,4.728628,4.728628,840428,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_087_q3_N5_s11/plan.json,2026-09-24T09:12:16+00:00,pool,
case_088,3,2.132554,2.132554,114240,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_088_q3_N5_s11/plan.json,2026-09-24T09:10:01+00:00,pool,
case_089,3,5.632055,5.632055,123062,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_089_q3_N5_s11/plan.json,2026-09-24T09:11:22+00:00,pool,
case_090,3,4.134593,4.759428,247585,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_090_q3_N5_s11/plan.json,2026-09-24T09:07:21+00:00,pull,
case_091,3,4.631336,4.944384,1858021,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_091_q3_N5_s11/plan.json,2026-09-24T09:10:12+00:00,pull,
case_092,3,5.982411,5.982411,804952,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_092_q3_N5_s11/plan.json,2026-09-24T09:16:05+00:00,pool,
case_093,3,4.674036,4.674036,15876,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_093_q3_N5_s11/plan.json,2026-09-24T09:08:15+00:00,pool,
case_094,3,4.769641,4.769641,19895,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_094_q3_N5_s11/plan.json,2026-09-24T09:21:46+00:00,pool,
case_095,3,4.953886,4.953886,420852,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_095_q3_N5_s11/plan.json,2026-09-24T09:17:44+00:00,pool,
case_096,3,3.112187,3.112187,27053,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_096_q3_N5_s11/plan.json,2026-09-24T09:10:59+00:00,pool,
case_097,3,5.46629,5.46629,2102250,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_097_q3_N5_s11/plan.json,2026-09-24T09:12:28+00:00,pool,
case_098,3,2.757436,2.96067,59929,4,A-P3-CACHE-002,runs/A-P3-CACHE-002/case_098_q3_N4_s11/plan.json,2026-09-24T00:55:33+00:00,pull,
case_099,3,4.910991,4.931629,329100,5,A-P3-STRAND-N5,runs/A-P3-STRAND-N5/case_099_q3_N5_s11/plan.json,2026-09-24T08:10:16+00:00,pull,
case_100,3,2.849823,3.001767,50378,5,A-P3-BAL5-001,runs/A-P3-BAL5-001/case_100_q3_N5_s11/plan.json,2026-09-24T09:22:41+00:00,pull,
