case,q,pool_sp,pull_sp,mk,cores,exp,plan_path,ts,source,verified_local
case_020,2,4.945701,4.945701,107719,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_020_q2_N5_s11/plan.json,2026-09-24T08:14:49+00:00,pool,
case_021,2,5.253644,5.253644,1250168,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_021_q2_N5_s11/plan.json,2026-09-24T08:15:51+00:00,pool,
case_022,2,4.799662,4.741941,11974,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_022_q2_N5_s11/plan.json,2026-09-24T08:20:44+00:00,pool,
case_023,2,5.218283,5.27599,23240,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_023_q2_N5_s11/plan.json,2026-09-24T08:15:33+00:00,pull,
case_024,2,3.435058,3.207268,796735,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_024_q2_N4_s11/plan.json,2026-09-24T05:27:18+00:00,pool,
case_025,2,4.986277,4.983191,975886,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_025_q2_N5_s11/plan.json,2026-09-24T08:16:12+00:00,pool,
case_026,2,2.852464,2.852464,34778,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_026_q2_N5_s11/plan.json,2026-09-24T08:15:42+00:00,pool,
case_027,2,5.128446,5.128446,460949,5,A-P2-STRAND-N5,runs/A-P2-STRAND-N5/case_027_q2_N5_s11/plan.json,2026-09-24T07:46:49+00:00,pull,
case_028,2,5.440847,5.440847,8056841,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_028_q2_N5_s11/plan.json,2026-09-24T08:16:18+00:00,pool,
case_029,2,4.346644,4.023463,9334,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_029_q2_N5_s11/plan.json,2026-09-24T08:17:08+00:00,pool,
case_030,2,4.994351,4.994351,562242,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_030_q2_N5_s11/plan.json,2026-09-24T08:20:59+00:00,pool,
case_031,2,4.815201,4.784772,295598,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_031_q2_N5_s11/plan.json,2026-09-24T08:15:45+00:00,pool,
case_032,2,3.390853,3.417979,12125,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_032_q2_N5_s11/plan.json,2026-09-24T08:21:26+00:00,pull,
case_033,2,5.003782,5.010791,354075,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_033_q2_N5_s11/plan.json,2026-09-24T08:22:54+00:00,pull,
case_034,2,4.753049,4.753049,177359,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_034_q2_N5_s11/plan.json,2026-09-24T08:15:50+00:00,pool,
case_035,2,1.953808,1.875433,90417,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_035_q2_N4_s11/plan.json,2026-09-24T05:27:55+00:00,pool,
case_036,2,4.976493,4.976493,187182,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_036_q2_N5_s11/plan.json,2026-09-24T08:25:21+00:00,pool,
case_037,2,4.882268,4.882268,43013,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_037_q2_N5_s11/plan.json,2026-09-24T08:17:19+00:00,pool,
case_038,2,4.9743,4.9743,274321,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_038_q2_N5_s11/plan.json,2026-09-24T08:24:00+00:00,pool,
case_039,2,4.385198,4.385198,327297,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_039_q2_N5_s11/plan.json,2026-09-24T08:17:26+00:00,pool,
case_040,2,2.396705,2.45526,103229,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_040_q2_N5_s11/plan.json,2026-09-24T08:21:37+00:00,pull,
case_041,2,4.922733,4.922733,1219639,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_041_q2_N5_s11/plan.json,2026-09-24T08:23:56+00:00,pool,
case_042,2,4.926011,4.926011,342415,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_042_q2_N5_s11/plan.json,2026-09-24T08:16:48+00:00,pool,
case_043,2,2.981985,3.237076,209342,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_043_q2_N5_s11/plan.json,2026-09-24T08:20:12+00:00,pull,
case_044,2,2.163169,3.490686,44234,2,A-P2-WAVE-N235,runs/A-P2-WAVE-N235/case_044_q2_N2_s11/plan.json,2026-09-23T17:01:40+00:00,pull,
case_045,2,4.801024,4.801024,26164,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_045_q2_N5_s11/plan.json,2026-09-24T08:17:30+00:00,pool,
case_046,2,2.501018,3.496952,79056,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_046_q2_N4_s11/plan.json,2026-09-24T05:36:49+00:00,pull,
case_047,2,1.210217,1.279049,255274,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_047_q2_N5_s11/plan.json,2026-09-24T08:19:15+00:00,pull,
case_048,2,1.452058,1.243328,178730,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_048_q2_N5_s11/plan.json,2026-09-24T08:22:24+00:00,pool,
case_049,2,1.585684,2.398231,81842,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_049_q2_N4_s11/plan.json,2026-09-24T05:35:18+00:00,pull,
case_050,2,2.093215,2.050745,72993,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_050_q2_N5_s11/plan.json,2026-09-24T08:18:09+00:00,pool,
case_051,2,3.395234,3.17402,191438,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_051_q2_N4_s11/plan.json,2026-09-24T05:33:03+00:00,pool,
case_052,2,5.025392,4.834714,37293,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_052_q2_N5_s11/plan.json,2026-09-24T08:26:17+00:00,pool,
case_053,2,3.685327,3.685327,399608,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_053_q2_N5_s11/plan.json,2026-09-24T08:17:46+00:00,pool,
case_054,2,2.903844,2.903844,280680,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_054_q2_N5_s11/plan.json,2026-09-24T08:26:02+00:00,pool,
case_055,2,4.808019,4.344814,27351,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_055_q2_N5_s11/plan.json,2026-09-24T08:22:54+00:00,pool,
case_056,2,1.474873,2.134226,129923,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_056_q2_N4_s11/plan.json,2026-09-24T05:35:34+00:00,pull,
case_057,2,4.52093,3.79526,15737,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_057_q2_N5_s11/plan.json,2026-09-24T08:31:21+00:00,pool,
case_058,2,4.78812,4.78812,948121,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_058_q2_N5_s11/plan.json,2026-09-24T08:19:07+00:00,pool,
case_059,2,5.501141,5.501141,150782,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_059_q2_N5_s11/plan.json,2026-09-24T08:22:59+00:00,pool,
case_060,2,4.897611,4.919024,180684,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_060_q2_N5_s11/plan.json,2026-09-24T08:26:32+00:00,pull,
case_061,2,3.805699,3.805699,20283,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_061_q2_N5_s11/plan.json,2026-09-24T08:21:08+00:00,pool,
case_062,2,4.641324,4.226266,675492,5,A-P2-STRAND-N5,runs/A-P2-STRAND-N5/case_062_q2_N5_s11/plan.json,2026-09-24T07:52:37+00:00,pool,
case_063,2,3.901304,4.600257,232682,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_063_q2_N5_s11/plan.json,2026-09-24T08:23:09+00:00,pull,
case_064,2,1.281577,1.281577,14916,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_064_q2_N5_s11/plan.json,2026-09-24T08:24:36+00:00,pool,
case_065,2,4.521428,4.521428,11737,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_065_q2_N5_s11/plan.json,2026-09-24T08:31:31+00:00,pool,
case_066,2,2.647775,2.714613,132273,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_066_q2_N5_s11/plan.json,2026-09-24T08:25:20+00:00,pull,
case_067,2,5.07069,5.07069,12588983,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_067_q2_N5_s11/plan.json,2026-09-24T08:23:42+00:00,pool,
case_068,2,2.157138,2.157138,167859,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_068_q2_N5_s11/plan.json,2026-09-24T08:28:19+00:00,pool,
case_069,2,2.660178,2.550101,9860,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_069_q2_N5_s11/plan.json,2026-09-24T08:21:23+00:00,pool,
case_070,2,4.668657,4.156479,28221,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_070_q2_N5_s11/plan.json,2026-09-24T08:40:57+00:00,pool,
case_071,2,2.309448,2.309448,8192,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_071_q2_N4_s11/plan.json,2026-09-24T05:36:36+00:00,pool,
case_072,2,4.731585,4.731585,5050702,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_072_q2_N5_s11/plan.json,2026-09-24T08:24:47+00:00,pool,
case_073,2,5.436512,5.436512,1854429,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_073_q2_N5_s11/plan.json,2026-09-24T08:31:40+00:00,pool,
case_074,2,4.837259,5.006902,335984,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_074_q2_N5_s11/plan.json,2026-09-24T08:26:47+00:00,pull,
case_075,2,3.371935,3.371935,427591,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_075_q2_N5_s11/plan.json,2026-09-24T08:26:15+00:00,pool,
case_076,2,4.770756,4.770756,1296464,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_076_q2_N5_s11/plan.json,2026-09-24T08:29:55+00:00,pool,
case_077,2,4.381463,4.474557,110697,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_077_q2_N5_s11/plan.json,2026-09-24T08:21:35+00:00,pull,
case_078,2,4.535797,4.619644,497039,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_078_q2_N5_s11/plan.json,2026-09-24T08:41:11+00:00,pull,
case_079,2,5.111725,5.110661,6075976,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_079_q2_N5_s11/plan.json,2026-09-24T08:26:14+00:00,pool,
case_080,2,3.108083,3.375523,86546,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_080_q2_N4_s11/plan.json,2026-09-24T05:50:54+00:00,pull,
case_081,2,4.905633,4.838396,31373,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_081_q2_N5_s11/plan.json,2026-09-24T08:32:51+00:00,pool,
case_082,2,3.445885,3.445885,209247,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_082_q2_N5_s11/plan.json,2026-09-24T08:27:48+00:00,pool,
case_083,2,5.269939,5.269939,200760,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_083_q2_N5_s11/plan.json,2026-09-24T08:28:05+00:00,pool,
case_084,2,4.988961,4.988961,502592,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_084_q2_N5_s11/plan.json,2026-09-24T08:36:26+00:00,pool,
case_085,2,3.756489,3.756489,848638,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_085_q2_N5_s11/plan.json,2026-09-24T08:22:33+00:00,pool,
case_086,2,1.571707,1.585875,74661,2,A-P2-WAVE-N235,runs/A-P2-WAVE-N235/case_086_q2_N2_s11/plan.json,2026-09-23T17:43:13+00:00,pull,
case_087,2,4.654226,4.654226,853863,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_087_q2_N5_s11/plan.json,2026-09-24T08:34:18+00:00,pool,
case_088,2,1.962929,2.011751,121100,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_088_q2_N4_s11/plan.json,2026-09-24T05:53:28+00:00,pull,
case_089,2,5.632055,5.632055,123062,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_089_q2_N5_s11/plan.json,2026-09-24T08:33:37+00:00,pool,
case_090,2,4.045604,4.045604,291270,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_090_q2_N5_s11/plan.json,2026-09-24T08:28:47+00:00,pool,
case_091,2,4.613346,4.613346,1991346,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_091_q2_N5_s11/plan.json,2026-09-24T08:28:48+00:00,pool,
case_092,2,5.968871,5.968871,806778,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_092_q2_N5_s11/plan.json,2026-09-24T08:40:34+00:00,pool,
case_093,2,4.674036,4.674036,15876,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_093_q2_N5_s11/plan.json,2026-09-24T08:29:22+00:00,pool,
case_094,2,4.769641,4.769641,19895,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_094_q2_N5_s11/plan.json,2026-09-24T08:42:44+00:00,pool,
case_095,2,4.953886,4.953886,420852,5,A-P2-STRAND-N5,runs/A-P2-STRAND-N5/case_095_q2_N5_s11/plan.json,2026-09-24T07:54:10+00:00,pool,
case_096,2,3.112187,3.112187,27053,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_096_q2_N5_s11/plan.json,2026-09-24T08:32:16+00:00,pool,
case_097,2,5.466036,5.466036,2102348,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_097_q2_N5_s11/plan.json,2026-09-24T08:34:37+00:00,pool,
case_098,2,2.676088,2.955787,60028,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_098_q2_N4_s11/plan.json,2026-09-24T05:52:48+00:00,pull,
case_099,2,4.946976,4.897993,331360,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_099_q2_N5_s11/plan.json,2026-09-24T08:34:32+00:00,pool,
case_100,2,2.849125,2.864072,52800,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_100_q2_N4_s11/plan.json,2026-09-24T05:57:33+00:00,pull,
