case,q,pool_sp,pull_sp,mk,cores,exp,plan_path,ts,source,verified_local
case_001,2,4.907372,4.907372,47502,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_001_q2_N5_s11/plan.json,2026-09-24T08:14:26+00:00,pool,
case_002,2,3.982077,4.343094,60313,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_002_q2_N5_s11/plan.json,2026-09-24T08:14:26+00:00,pull,
case_003,2,2.558054,2.558054,235418,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_003_q2_N5_s11/plan.json,2026-09-24T08:14:26+00:00,pool,
case_004,2,4.441392,4.441392,88341,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_004_q2_N5_s11/plan.json,2026-09-24T08:14:26+00:00,pool,
case_005,2,1.519942,1.408218,67900,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_005_q2_N5_s11/plan.json,2026-09-24T08:14:26+00:00,pool,
case_006,2,3.395098,3.796901,21817,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_006_q2_N5_s11/plan.json,2026-09-24T08:14:27+00:00,pull,
case_007,2,4.967581,4.967581,203834,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_007_q2_N5_s11/plan.json,2026-09-24T08:14:27+00:00,pool,
case_008,2,4.846824,4.846824,100603,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_008_q2_N5_s11/plan.json,2026-09-24T08:15:25+00:00,pool,
case_009,2,1.785718,1.785718,85826,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_009_q2_N5_s11/plan.json,2026-09-24T08:14:35+00:00,pool,
case_010,2,3.824326,3.719008,23385,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_010_q2_N5_s11/plan.json,2026-09-24T08:14:54+00:00,pool,
case_011,2,4.392423,4.613504,40034,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_011_q2_N5_s11/plan.json,2026-09-24T08:18:37+00:00,pull,
case_012,2,3.742589,4.103048,14401,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_012_q2_N5_s11/plan.json,2026-09-24T08:14:35+00:00,pull,
case_013,2,4.855306,4.855306,54363,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_013_q2_N5_s11/plan.json,2026-09-24T08:15:22+00:00,pool,
case_014,2,4.793876,4.793876,3691924,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_014_q2_N5_s11/plan.json,2026-09-24T08:14:36+00:00,pool,
case_015,2,4.268743,4.013805,44188,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_015_q2_N5_s11/plan.json,2026-09-24T08:15:20+00:00,pool,
case_016,2,3.443506,3.214294,2400379,4,A-P2-STRAND-002,runs/A-P2-STRAND-002/case_016_q2_N4_s11/plan.json,2026-09-24T05:23:22+00:00,pool,
case_017,2,4.882005,4.882005,33349,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_017_q2_N5_s11/plan.json,2026-09-24T08:15:55+00:00,pool,
case_018,2,5.001081,4.976376,201827,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_018_q2_N5_s11/plan.json,2026-09-24T08:15:02+00:00,pool,
case_019,2,4.974802,4.460177,18193,5,A-P2-BAL5-001,runs/A-P2-BAL5-001/case_019_q2_N5_s11/plan.json,2026-09-24T08:18:49+00:00,pool,
