case,q,pool_sp,winner,winner_official_mk,winner_plan_hash,winner_slots,padded_equiv,verified_sp,gain
case_001,3,4.907372,pool,,,5,,4.907372,0.0
case_002,3,3.982077,pull(官方实测mk),60313,a6d97df0ee679d50,5,,4.343094,0.361017
case_003,3,2.714794,pool,,,5,,2.714794,0.0
case_004,3,4.441392,pool,,,5,,4.441392,0.0
case_005,3,1.670913,pool,,,5,,1.670913,0.0
case_006,3,3.548079,pull(官方实测mk),20771,9c5b5794af0af1dc,5,,3.988108,0.440029
case_007,3,4.967581,pool,,,5,,4.967581,0.0
case_008,3,4.846824,pull(官方实测mk),95353,cd63c17ffed770db,5,,5.113683,0.266859
case_009,3,1.785156,pool,,,5,,1.785156,0.0
case_010,3,4.161395,pool,,,5,,4.161395,0.0
case_011,3,4.553561,pull(官方实测mk),40034,99f52a9b2e117234,5,,4.613504,0.059942
case_012,3,3.820016,pull(官方实测mk),13655,aabaef118c1fb168,5,,4.327206,0.50719
case_013,3,4.871346,pull(官方实测mk),54117,e8adf15a44bdda54,5,,4.877377,0.006031
case_014,3,4.803372,pull(官方实测mk),3683682,8a0c7d1dd661f51c,5,,4.804602,0.00123
case_015,3,4.349987,pool,,,5,,4.349987,0.0
case_016,3,3.443543,pool,,,5,,3.443543,0.0
case_017,3,4.882591,pool,,,5,,4.882591,0.0
case_018,3,4.983363,pool,,,5,,4.983363,0.0
case_019,3,4.975107,pool,,,5,,4.975107,0.0
case_020,3,4.948871,pool,,,5,,4.948871,0.0
case_021,3,5.256957,pool,,,5,,5.256957,0.0
case_022,3,4.799662,pool,,,5,,4.799662,0.0
case_023,3,5.242603,pull(官方实测mk),23240,1a5a630fc243b4fa,5,,5.27599,0.033387
case_024,3,3.437336,pool,,,5,,3.437336,0.0
case_025,3,4.986277,pool,,,5,,4.986277,0.0
case_026,3,2.906366,pool,,,5,,2.906366,0.0
case_027,3,5.128446,pool,,,5,,5.128446,0.0
case_028,3,5.445693,pool,,,5,,5.445693,0.0
case_029,3,4.537272,pool,,,5,,4.537272,0.0
case_030,3,4.994902,pool,,,5,,4.994902,0.0
case_031,3,4.625492,pull(官方实测mk),295137,92f59e07dc886313,5,,4.792246,0.166754
case_032,3,3.475595,pull(官方实测mk),11580,a858b501817b07ce,5,,3.578843,0.103247
case_033,3,5.003782,pull(官方实测mk),354075,cacc8172401d7560,5,,5.010791,0.007009
case_034,3,4.80959,pull(官方实测mk),171673,075dcff74f7988aa,5,,4.910475,0.100885
case_035,3,1.897001,pool,,,5,,1.897001,0.0
case_036,3,4.976493,pool,,,5,,4.976493,0.0
case_037,3,4.882268,pool,,,5,,4.882268,0.0
case_038,3,5.007045,pool,,,5,,5.007045,0.0
case_039,3,4.385198,pull(官方实测mk),293525,bf0cc7c48a0cfef8,5,,4.889744,0.504546
case_040,3,2.39725,pull(官方实测mk),102882,1ddc5103068d0e61,5,,2.463541,0.066291
case_041,3,4.957568,pool,,,5,,4.957568,0.0
case_042,3,4.936347,pool,,,5,,4.936347,0.0
case_043,3,2.981985,pull(官方实测mk),208813,2783b1e3fd964d86,5,,3.245277,0.263292
case_044,3,2.701548,pull(官方实测mk),45369,0c2051b1c6ef88db,5,实测相等,3.403359,0.701811
case_045,3,4.801024,pool,,,5,,4.801024,0.0
case_046,3,4.084556,pool,,,5,,4.084556,0.0
case_047,3,1.332789,pool,,,5,,1.332789,0.0
case_048,3,1.502156,pool,,,5,,1.502156,0.0
case_049,3,1.585684,pull(官方实测mk),81432,c07e5faede348d19,5,实测相等,2.410306,0.824622
case_050,3,2.128728,pool,,,5,,2.128728,0.0
case_051,3,3.412299,pool,,,5,,3.412299,0.0
case_052,3,5.206648,pool,,,5,,5.206648,0.0
case_053,3,3.933194,pool,,,5,,3.933194,0.0
case_054,3,2.982454,pool,,,5,,2.982454,0.0
case_055,3,4.922946,pool,,,5,,4.922946,0.0
case_056,3,1.484562,pull(官方实测mk),128944,8a2b50cfce32ad8b,5,实测相等,2.15043,0.665868
case_057,3,4.542592,pool,,,5,,4.542592,0.0
case_058,3,4.788534,pool,,,5,,4.788534,0.0
case_059,3,5.502819,pool,,,5,,5.502819,0.0
case_060,3,4.743396,pull(官方实测mk),180684,ef6cca1b4aa4ee3e,5,,4.919024,0.175628
case_061,3,3.806262,pool,,,5,,3.806262,0.0
case_062,3,4.761245,pool,,,5,,4.761245,0.0
case_063,3,3.901304,pull(官方实测mk),232682,f72b0c83741e8ded,5,,4.600257,0.698953
case_064,3,1.281835,pool,,,5,,1.281835,0.0
case_065,3,4.521428,pool,,,5,,4.521428,0.0
case_066,3,2.669249,pull(官方实测mk),131856,941273b90033baf8,5,,2.723198,0.053949
case_067,3,5.084652,pool,,,5,,5.084652,0.0
case_068,3,2.275266,pool,,,5,,2.275266,0.0
case_069,3,2.693231,pool,,,5,,2.693231,0.0
case_070,3,4.621385,pool,,,5,,4.621385,0.0
case_071,3,2.367835,pool,,,5,,2.367835,0.0
case_072,3,4.73563,pull(官方实测mk),4826790,08997c67d9d4714b,5,,4.951081,0.215451
case_073,3,5.7016,pool,,,5,,5.7016,0.0
case_074,3,4.937306,pull(官方实测mk),334863,86935e85a7aad0b0,5,,5.023663,0.086357
case_075,3,3.415848,pool,,,5,,3.415848,0.0
case_076,3,4.773042,pull(官方实测mk),1243517,2ad55ec0702c156b,5,,4.973887,0.200845
case_077,3,4.382277,pull(官方实测mk),108743,a87c827b6d086c62,5,,4.55496,0.172683
case_078,3,5.056904,pool,,,5,,5.056904,0.0
case_079,3,5.111085,pool,,,5,,5.111085,0.0
case_080,3,3.181915,pull(官方实测mk),72045,7cad7ed35b9342ee,5,,4.054938,0.873023
case_081,3,4.905633,pool,,,5,,4.905633,0.0
case_082,3,3.49862,pool,,,5,,3.49862,0.0
case_083,3,5.337845,pool,,,5,,5.337845,0.0
case_084,3,4.988961,pool,,,5,,4.988961,0.0
case_085,3,3.821683,pool,,,5,,3.821683,0.0
case_086,3,1.731038,pool,,,5,,1.731038,0.0
case_087,3,4.728628,pool,,,5,,4.728628,0.0
case_088,3,2.132554,pool,,,5,,2.132554,0.0
case_089,3,5.632055,pool,,,5,,5.632055,0.0
case_090,3,4.134593,pull(官方实测mk),247585,f0b8d4d40ee1b003,5,,4.759428,0.624835
case_091,3,4.631336,pull(官方实测mk),1858021,12b591d5b059ea30,5,,4.944384,0.313048
case_092,3,5.982411,pool,,,5,,5.982411,0.0
case_093,3,4.674036,pool,,,5,,4.674036,0.0
case_094,3,4.769641,pool,,,5,,4.769641,0.0
case_095,3,4.953886,pool,,,5,,4.953886,0.0
case_096,3,3.112187,pool,,,5,,3.112187,0.0
case_097,3,5.46629,pool,,,5,,5.46629,0.0
case_098,3,2.757436,pull(官方实测mk),59929,9f8b4b617ade1bab,5,实测相等,2.96067,0.203234
case_099,3,4.910991,pull(官方实测mk),329100,dbe7386a0ff88ec5,5,,4.931629,0.020638
case_100,3,2.849823,pull(官方实测mk),50378,4034ac9591c1b453,5,,3.001767,0.151944
